MCC+MNC;IMSI_OPERADOR;IMSI_PAIS;ZONA_ROAMING
25039;Uraltel;Rusia;zona_roaming_3
25077;N.D.;Rusia;zona_roaming_3
25099;Vimpelcom;Rusia;zona_roaming_3
25501;UMC/MTS;Ucrania;zona_roaming_3
25502;BEELINE/URS;Ucrania;zona_roaming_3
25503;KYIVSTAR;Ucrania;zona_roaming_3
25505;GOLDEN TELECOM;Ucrania;zona_roaming_3
25506;ASTELIT;Ucrania;zona_roaming_3
25701;VELCOM (MDC);Bielorrusia;zona_roaming_3
25702;MTS;Bielorrusia;zona_roaming_3
25901;Orange;Moldavia;zona_roaming_3
25902;Moldcell;Moldavia;zona_roaming_3
26001;Polkomtel;Polonia;zona_roaming_1
